slug,words,dup_pct,src_pct,src
ekspozitsiya-alupkinskogo-dvortsa-6,297,86,86,https://jalita.com/big_yalta/alupka/winter_garden.shtml
ekspozitsiya-alupkinskogo-dvortsa-7,355,86,86,https://jalita.com/big_yalta/alupka/upholstered_room.shtml
eski-kermen,2943,86,60,https://jalita.com/guidebook/cave/eski-kermen_desc.shtml
legenda-o-paragilmene,552,86,86,https://jalita.com/guidebook/legends/paragilmen.shtml
ponizovka,649,86,86,https://jalita.com/big_yalta/simeiz/ponizovka.shtml
roman-kosh,817,86,85,https://jalita.com/big_yalta/gurzuf/roman-kosh.shtml
tash-koj-kamennaya-derevnya,528,86,86,https://jalita.com/big_yalta/simeiz/tash-koi.shtml
tavrskie-mogilniki-na-gore-koshka,251,86,86,https://jalita.com/big_yalta/simeiz/mountain_cat_mogil.shtml
villa-divo-dacha-semenova,299,86,86,https://jalita.com/big_yalta/simeiz/villa_divo.shtml
adzhimushkajskie-kamenolomni,742,85,84,https://jalita.com/guidebook/crimea/adjimushkay.shtml
bolshoj-grot-s-istochnikom-kyz-kermen,262,85,83,https://jalita.com/guidebook/cave/kyz-kermen_spring.shtml
dom-muzej-a-p-chehova-v-yalte-2,603,85,85,https://jalita.com/big_yalta/chehov/bedroom.shtml
imenie-baryatinskih-selbillyar-kiparisovaya-roshha,428,85,85,https://jalita.com/big_yalta/yalta/selbiar.shtml
peshhera-emine-bair-hosar-2,840,85,85,https://jalita.com/guidebook/cave_crimea/emine-bair-hosar.shtml
shtangeevskaya-tropa,323,85,85,https://jalita.com/big_yalta/yalta/shtangeev_path.shtml
stranitsy-istorii-gurzufa,4658,85,81,https://jalita.com/big_yalta/gurzuf/history_1.shtml
tektonika-chatyr-daga,412,85,75,https://jalita.com/big_yalta/forest/chatyr-dag_tektonik.shtml
ekspozitsiya-vorontsovskogo-dvortsa-2,462,84,84,https://jalita.com/big_yalta/alupka/billiard_room.shtml
krymskoe-hanstvo,864,84,84,https://jalita.com/guidebook/crimea/crimean_khanate.shtml
shajtan-koba,344,84,84,https://jalita.com/guidebook/crimea/shaitan_koba.shtml
tik-kuyu-osadnyj-kolodets-chufut-kale,987,84,84,https://jalita.com/guidebook/cave/chufut-kale_tik_kueu.shtml
villa-kameya,283,84,84,https://jalita.com/big_yalta/simeiz/villa_kameya.shtml
v-yaltu-iz-sevastopolya-cherez-bajdarskie-vorota,859,84,84,https://jalita.com/big_yalta/road/to_yalta_sevas.shtml
arabatskaya-strelka-kosa,1169,83,82,https://jalita.com/guidebook/crimea/arabat.shtml
bulganakskie-sopki,586,83,83,https://jalita.com/guidebook/crimea/bulganakskie.shtml
dzhanike-hanym,598,83,83,https://jalita.com/guidebook/cave/djanikee.shtml
ekspozitsiya-vorontsovskogo-dvortsa-4,220,83,83,https://jalita.com/big_yalta/alupka/dressing_room.shtml
kak-ranshe-na-more-ezdili-cherez-simferopol,956,83,83,https://jalita.com/big_yalta/road/old_path_to_yalta.shtml
mastreiz-pritok,187,83,83,https://jalita.com/big_yalta/yalta/mastreiz.shtml
nizhnij-kastropol-i-lesnaya-zona,167,83,83,https://jalita.com/big_yalta/kastropol/index.shtml
sivash-ili-gniloe-more,975,83,83,https://jalita.com/guidebook/crimea/sivash.shtml
tserkovnyj-grot-kachi-kalona,339,83,83,https://jalita.com/guidebook/cave/kachi-kalion_grotto.shtml
villa-barbo-maevka,151,83,83,https://jalita.com/big_yalta/mishor/maevka.shtml
geograficheskoe-polozhenie-chatyr-daga,381,82,58,https://jalita.com/big_yalta/forest/chatyr-dag_geografy.shtml
gurzufskoe-sedlo,299,82,82,https://jalita.com/big_yalta/gurzuf/gurzuf_saddle.shtml
krymskaya-gornaya-trollejbusnaya-trassa,632,82,82,https://jalita.com/big_yalta/road/trolleybus_route.shtml
najdennye-v-krymu-klady,858,82,82,https://jalita.com/guidebook/crimea/treasure.shtml
romanovskaya-doroga,923,82,82,https://jalita.com/big_yalta/road/roman_road.shtml
tavry,674,82,82,https://jalita.com/guidebook/crimea/tavry.shtml
ushhele-uch-kosh,561,82,82,https://jalita.com/big_yalta/yalta/uch-kosh.shtml
vodohranilishhe-sikorskogo,254,82,82,https://jalita.com/big_yalta/alupka/reservoir_sikorskiy.shtml
zhanna-de-lya-mott-afera-veka,411,82,82,https://jalita.com/big_yalta/gurzuf/swindle.shtml
zub-drevnego-nosoroga-v-peshhere-emine-bair-hosar,257,82,82,https://jalita.com/guidebook/cave_crimea/emine-bair-hosar_tooth.shtml
krymskij-zapovednik,901,81,81,https://jalita.com/big_yalta/forest/index.shtml
legendy-kryma,361,81,81,https://jalita.com/guidebook/legends/index.shtml
usadba-ustinova-vasil-saraj,223,81,81,https://jalita.com/big_yalta/massandra/ustinov.shtml
barelef-a-nbsp-s-nbsp-pushkina,542,80,80,https://jalita.com/big_yalta/gurzuf/pushkin_bareljef.shtml
chernorechenskij-kanon,640,80,80,https://jalita.com/big_yalta/simeiz/chernorechensk_canyon.shtml
dacha-saklya-saburova,149,80,80,https://jalita.com/big_yalta/simeiz/villa_saburov.shtml
dolgorukovskaya-yajla,706,80,80,https://jalita.com/guidebook/crimea/dolgoruk-yayla.shtml
ekspozitsiya-massandrovskogo-dvortsa-muzeya-12,1950,80,80,https://jalita.com/big_yalta/massandra/waiting_room_his_majesty.shtml
interery-livadijskogo-dvortsa,488,80,80,https://jalita.com/big_yalta/livadia/interior_livadia.shtml
issledovanie-kosmosa-v-krymu,859,80,79,https://jalita.com/guidebook/crimea/space.shtml
ivanenkovskij-partizanskij-aerodrom,422,80,80,https://jalita.com/guidebook/crimea/dolgoruk-yayla_aerodrome.shtml
kak-dobratsya-do-emine-bair-hosar,376,80,76,https://jalita.com/guidebook/cave_crimea/emine-bair-hosar_path.shtml
krymskie-nazvaniya-v-parizhe,844,80,80,https://jalita.com/guidebook/crimea/name_paris.shtml
kyz-kermen,1024,80,80,https://jalita.com/guidebook/cave/kyz-kermen.shtml
shaan-kaya-gora,395,80,80,https://jalita.com/big_yalta/alupka/shaan-kaya.shtml
arhitektura-livadijskogo-dvortsa-5,306,79,79,https://jalita.com/big_yalta/livadia/architecture_livadia_4.shtml
kanony-v-krymu,339,79,79,https://jalita.com/guidebook/crimea/canyons.shtml
vystavka-irisov-v-nikitskom-botanicheskom-sadu,234,79,78,https://jalita.com/big_yalta/nikita/iris.shtml
5-samyh-zagadochnyh-nenajdennyh-kladov,376,78,78,https://jalita.com/guidebook/crimea/treasure_notfound.shtml
laspi,684,78,78,https://jalita.com/big_yalta/laspi/index.shtml
livadijskij-organ,617,78,78,https://jalita.com/big_yalta/livadia/organ.shtml
oreanda,311,78,78,https://jalita.com/big_yalta/oreanda/index.shtml
partizanskij-aerodrom,921,78,78,https://jalita.com/guidebook/crimea/karabi-yayla_aerodrome.shtml
